accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.451729086452693829e-02,5.226717894362086642e-03,-9.755446284916443389e+00
-1.912807576619482072e-02,-9.377891967486716787e-03,-9.766233980972474527e+00
1.928271828424107937e-02,1.309307907088114696e-03,-9.777182026817593297e+00
1.098042890879494249e-02,-4.058804225609152078e-03,-9.779839378128267313e+00
2.644707964102721576e-02,1.203379435424492029e-02,-9.799707292770007072e+00
1.114412923108245961e-02,8.663427378891367520e-03,-9.754850632447952918e+00
-1.776779504362229530e-03,-1.182034646991571292e-02,-9.771655651432201495e+00
-9.656200925984922620e-03,-7.178583073797618723e-03,-9.809596459268178137e+00
-8.881344425846279464e-03,1.277348696872552050e-02,-9.767839968282832075e+00
-2.355348861979301468e-03,1.100892041460198138e-04,-9.779658604031379099e+00
-1.110918100275893293e-02,-2.996779443705376370e-02,-9.784820828903395551e+00
2.860480088630879686e-02,2.042743469712916121e-02,-9.778982624234538790e+00
2.122155557220160860e-02,6.110404338533499680e-03,-9.786642009858114832e+00
1.245008557649037589e-02,1.336870665242986984e-03,-9.774998333865895006e+00
-8.858840380726383350e-04,7.478179714803561556e-03,-9.779050239043042936e+00
-5.536772964400089869e-03,-1.093923698759758159e-02,-9.778263578497000452e+00
2.926685358581397264e-03,-1.329994491620467741e-02,-9.782045727596992535e+00
-1.692985972177507917e-02,-1.701843788692284200e-03,-9.802441076285781207e+00
8.110172092511414021e-03,1.091019215535641261e-02,-9.772789246315220169e+00
-1.087683184465278174e-02,2.132563516135492152e-02,-9.801628811628971150e+00
2.124544300916880388e-02,-8.611906039385663902e-03,-9.786020759697835913e+00
1.394797088240575487e-02,2.440753093450049715e-03,-9.770804292255563794e+00
-1.731905762227090029e-02,2.029072878493748053e-02,-9.778224362888172649e+00
-6.865651352004676668e-03,5.687658753902678083e-03,-9.792862002441607316e+00
-3.555050503136240707e-03,1.366971848468624684e-02,-9.783511321300435881e+00
-3.379663393781647679e-04,1.662286420770952428e-02,-9.766343857938968753e+00
